CCLE_ID,depMapID,Name,Pathology,Site_Primary,Site_Subtype1,Site_Subtype2,Site_Subtype3,Histology,Hist_Subtype1,Hist_Subtype2,Hist_Subtype3,Gender,Life_Stage,Age,Race,Geo_Loc,inferred_ethnicity,Site_Of_Finding,Disease,Annotation_Source,OriginalSourceofCellLine,Characteristics,GrowthMedium,Supplements,FreezingMedium,DoublingTimefromVendor,DoublingTimeCalculatedhrs,type,type_refined,PATHOLOGIST_ANNOTATION,mutRate,tcga_code,NameAstra
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-702,"L-1236",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,Hodgkin_lymphoma,NS,NS,male,<undefined>,34,<undefined>,<undefined>,Caucasian,<undefined>,lymphoma,CCLE,DSMZ,"Mix","RPMI+10%FBS","NA",5,48 hrs,89.9,lymphoma_Hodgkin,lymphoma_Hodgkin,Lymphoma:Hodgkin,160.8997968,NA,
DANG_PANCREAS,-243,"DAN-G",primary,pancreas,NS,NS,NS,carcinoma,NS,NS,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,Caucasian,<undefined>,Pancreatic Cancer,CCLE,DSMZ,"ADHERENT EPITHELOID CELLS GROWING IN MONOLAYERS","RPMI-1640+ 10%FBS","NA",5,33 hrs,43.3,pancreas,pancreas,Pancreas:Carcinoma,90.38433048,PAAD,
NCIH460_LUNG,-463,"NCI-H460",metastasis,lung,NS,NS,NS,carcinoma,large_cell_carcinoma,NS,NS,male,<undefined>,NaN,<undefined>,<undefined>,Caucasian,pleura,large_cell_lung_cancer,CCLE,ATCC,"Adherent","RPMI-1640+10%FBS","NA",5,<undefined>,25.5,lung_NSC,lung_NSC,Lung:NSCLC_Large_Cell,119.6353574,NA,NCIH460
KYSE140_OESOPHAGUS,-823,"KYSE-140",primary,oesophagus,middle_third,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,male,<undefined>,54,asian,japan,Asian,<undefined>,<undefined>,CCLE,DSMZ,"Adherent monolayer","RPMI 1640+10%FBS","NA",10,<undefined>,27.5,esophagus,esophagus,Oesophagus:Carcinoma,203.6248043,ESCA,
KYSE180_OESOPHAGUS,-693,"KYSE-180",primary,oesophagus,middle_third,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,male,<undefined>,53,asian,japan,Asian,<undefined>,<undefined>,CCLE,DSMZ,"EPITHELOID CELLS GROWING AS ADHERENT MONOLAYER","RPMI-1640 +10% FBS","NA",5,40-50 hrs,34.1,esophagus,esophagus,Oesophagus:Carcinoma,158.794456,ESCA,
HUPT3_PANCREAS,-118,"HUP-T3",metastasis,pancreas,NS,NS,NS,carcinoma,NS,NS,NS,male,<undefined>,66,asian,japan,Asian,ascites,<undefined>,CCLE,DSMZ,"adherent; dt=40-50hrs","EMEM+10%FBS","1% NEAA + 1% sodium pyruvate",10,<undefined>,106,pancreas,pancreas,Pancreas:Carcinoma,116.5594164,PAAD,
EFE184_ENDOMETRIUM,-435,"EFE-184",metastasis,endometrium,NS,NS,NS,carcinoma,NS,NS,NS,female,<undefined>,69,caucasian,<undefined>,Caucasian,ascites,<undefined>,CCLE,DSMZ,"EPITHELOID CELLS GROWING IN MONOLAYERS","RPMI-1640+10% FBS","NA",5,92 hrs,89.9,endometrium,endometrium,Endometrium:Carcinoma,115.679843,UCEC,
GCIY_STOMACH,-47,"GCIY",primary,stomach,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,NaN,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,stomach,stomach,Gastric:Carcinoma,88.66578456,STAD,
SH10TC_STOMACH,-764,"SH-10-TC",primary,stomach,NS,NS,NS,carcinoma,NS,NS,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,RIKEN,"Adherent","RPMI 1640 +10%FBS","NA",5,<undefined>,66,stomach,stomach,Gastric:Carcinoma,207.7215689,STAD,
CAOV4_OVARY,-103,"Caov-4",metastasis,ovary,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,45,caucasian,<undefined>,Caucasian,NS,<undefined>,CCLE,<undefined>,"Adherent","<undefined>","<undefined>",5,<undefined>,NaN,ovary,ovary,NA,77.29245748,OV,
HCC2218_BREAST,-755,"HCC2218",primary,breast,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,female,<undefined>,38,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"SUSPENSION","RPMI 1640 +10%FBS","NA",5,<undefined>,147.7,breast,breast,Breast:Carcinoma,168.9209571,BRCA,
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-598,"KMS-21BM",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,male,<undefined>,62,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"lymphocyte-like","RPMI 1640 medium with 10% fetal bovine serum.","NA",NaN,NA,NaN,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,160.2806444,MM,
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-588,"KMS-26",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,male,<undefined>,50,asian,<undefined>,Asian,<undefined>,multiple_myeloma,CCLE,<undefined>,"suspension","RPMI1640+10%FBS","NA",5,<undefined>,33.2,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,149.7017082,MM,
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-576,"KMS-27",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,male,<undefined>,52,asian,<undefined>,Asian,<undefined>,multiple_myeloma,CCLE,<undefined>,"suspension","RPMI1640+10%FBS","NA",5,<undefined>,73.2,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,169.0552943,MM,
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-498,"KO52",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M2,NS,male,<undefined>,46,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"<undefined>","MEM + 10% FBS","NA",10,<undefined>,NaN,AML,AML,Leukemia:AML,NaN,LAML,
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-419,"KMS-28BM",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,female,<undefined>,77,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"suspension","RPMI +10%FBS","NA",5,<undefined>,60,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,151.6802434,MM,
KNS60_CENTRAL_NERVOUS_SYSTEM,-445,"KNS-60",primary,central_nervous_system,brain,NS,NS,glioma,astrocytoma_Grade_IV,glioblastoma_multiforme,NS,male,<undefined>,55,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"polygonal-epithelial","Dulbecco's modified Eagle's medium with 5% fetal bovine serum","NA",NaN,NA,NaN,glioma,glioma,CNS:Glioma_HighGrade,142.794309,GBM,
KNS81_CENTRAL_NERVOUS_SYSTEM,-479,"KNS-81",primary,central_nervous_system,brain,NS,NS,glioma,astrocytoma_Grade_IV,glioblastoma_multiforme,NS,male,<undefined>,65,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"Fibroblast-like","DMEM+15%FBS","NA",10,<undefined>,70,glioma,glioma,CNS:Glioma_HighGrade,163.5303777,GBM,
KPNSI9S_AUTONOMIC_GANGLIA,-446,"KP-N-SI9s",metastasis,autonomic_ganglia,NS,NS,NS,neuroblastoma,NS,NS,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,Asian,lymph_node,<undefined>,CCLE,HSSRB,"NA","RPMI 1640 medium wiyh10% fetal bovine serum","NA",NaN,NA,NaN,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,146.3354631,NB,
LU99_LUNG,-444,"LU99",metastasis,lung,NS,NS,NS,carcinoma,large_cell_carcinoma,NS,NS,male,<undefined>,63,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSRRB,"Adherent","RPMI 1640 +10% FBS","NA",5,<undefined>,40.4,lung_NSC,lung_NSC,Lung:NSCLC_Large_Cell,165.0898898,NA,
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-541,"KMS-34",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,female,<undefined>,60,asian,<undefined>,Asian,<undefined>,multiple_myeloma,CCLE,HSRRB,"Supsension","<undefined>","NA",5,<undefined>,85.9,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,136.827034,MM,
MKN1_STOMACH,-351,"MKN1",metastasis,stomach,NS,NS,NS,carcinoma,mixed_adenosquamous_carcinoma,NS,NS,male,<undefined>,72,asian,japan,Asian,lymph_node,<undefined>,CCLE,HSSRB,"epithelial-like","RPMI 1640 medium with 10% fetal calf serum.","NA",NaN,NA,NaN,stomach,stomach,Gastric:Carcinoma,148.071063,STAD,
MKN74_STOMACH,-758,"MKN74",metastasis,stomach,NS,NS,NS,carcinoma,tubular_adenocarcinoma,NS,NS,male,<undefined>,37,asian,japan,Asian,liver,gastric_cancer,CCLE,HSSRB,"epithelial-like","RPMI 1640 medium with 10% heat inactivated fetal bovine serum","NA",NaN,NA,NaN,stomach,stomach,Gastric:Carcinoma,190.5846245,STAD,
KP3_PANCREAS,-108,"KP-3",metastasis,pancreas,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,male,<undefined>,75,asian,japan,Asian,liver,<undefined>,CCLE,HSSRB,"epithelial-like","RPMI 1640 medium with 10% fetal bovine serum","NA",NaN,NA,NaN,pancreas,pancreas,Pancreas:Carcinoma,110.455866,UNABLE TO CLASSIFY,
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-76,"NCO2",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,chronic_myeloid_leukaemia,NS,NS,female,<undefined>,35,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,CML,CML,Leukemia:CML,110.6743889,LCML,
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-564,"KHM-1B",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,male,<undefined>,53,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"SUSPENSION, LYMPHOCYTE-LIKE","RPMI-1640+10% FBS","NA",5,<undefined>,112.8,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,142.2057449,MM,
HSC2_UPPER_AERODIGESTIVE_TRACT,-472,"HSC-2",primary,upper_aerodigestive_tract,mouth,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,male,<undefined>,69,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"Epithelial-like","EMEM+10%FBS","<undefined>",NaN,<undefined>,37.7,upper_aerodigestive,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,155.9651961,HNSC,
KG1C_CENTRAL_NERVOUS_SYSTEM,-126,"KG-1-C",primary,central_nervous_system,brain,NS,NS,glioma,astrocytoma_Grade_IV,glioblastoma_multiforme,NS,male,<undefined>,13,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSRRB,"Adherent","DMEM + 10% FBS","NA",5,<undefined>,111.4,glioma,glioma,CNS:Glioma_HighGrade,108.9491102,GBM,
HUH7_LIVER,-480,"HuH-7",primary,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS,male,<undefined>,57,asian,japan,Asian,<undefined>,<undefined>,CCLE,HSSRB,"NA","Dulbecco's modified Eagle's medium with 10% fetal bovine serum. Refer cancer Res. 42:3858 (1982) for other medium with low serum concentration.","NA",NaN,NA,NaN,liver,liver,Liver:HCC,156.8998825,LIHC,
KMBC2_URINARY_TRACT,-862,"KMBC-2",primary,urinary_tract,bladder,NS,NS,carcinoma,NS,NS,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSRRB,"round cells with vacuolization","Ham's F12 +10% FBS","NA",5,<undefined>,137.9,urinary_tract,urinary_tract,Bladder:Carcinoma,254.4430402,BLCA,
KMRC20_KIDNEY,-250,"KMRC-20",primary,kidney,NS,NS,NS,carcinoma,renal_cell_carcinoma,NS,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"ADHERENT","DMEM+10% FBS","NA",5,<undefined>,65,kidney,kidney,Kidney:Carcinoma,148.6365519,KIRC,
HUCCT1_BILIARY_TRACT,-976,"HuCCT1",primary,biliary_tract,bile_duct,NS,NS,carcinoma,NS,NS,NS,male,<undefined>,NaN,asian,japan,Asian,<undefined>,<undefined>,CCLE,HSSRB,"NA","RPMI 1640 medium with 10% fetal bovine serum.","NA",NaN,NA,NaN,bile_duct,bile_duct,Biliary_Tract:Carcinoma,1458.405477,NA,
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-773,"Ki-JK",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,anaplastic_large_cell_lymphoma,NS,NS,male,<undefined>,15,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"lymphoblast-like","RPMI 1640 medium with 10% fetal calf serum.","NA",NaN,NA,NaN,lymphoma_other,T-cell_lymphoma_other,Lymphoma:NH_T_cell,208.2736925,NA,
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-157,"A4/Fuk",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,female,<undefined>,52,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,JCRB,"SUSPENSION","RPMI-10% FBS","NA",5,<undefined>,118.1,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,116.4358582,DLBC,
KALS1_CENTRAL_NERVOUS_SYSTEM,-231,"KALS-1",primary,central_nervous_system,brain,NS,NS,glioma,NS,NS,NS,female,<undefined>,NaN,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"Biporar polyglonal","RPMI1640+10%FBS","NA",10,<undefined>,56.9,glioma,glioma,CNS:Glioma,129.4083436,LGG,
HEC108_ENDOMETRIUM,-990,"HEC-108",primary,endometrium,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,NaN,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,63,endometrium,endometrium,Endometrium:Carcinoma,1579.742482,UCEC,
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5,"HEL 92.1.7",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M6,NS,male,<undefined>,30,caucasian,<undefined>,Caucasian,<undefined>,erythroleukemia,CCLE,NIBRI,"<undefined>","RPMI-1640 + 10% FBS","NA",5,<undefined>,116,AML,AML,Leukemia:AML,97.3391703,LAML,
HUH28_BILIARY_TRACT,-808,"HuH28",primary,biliary_tract,bile_duct,NS,NS,carcinoma,NS,NS,NS,<undefined>,<undefined>,NaN,asian,japan,Asian,<undefined>,<undefined>,CCLE,HSSRB,"adherent","RPMI-1640+10% FBS","NA",5,1 week,90.5,bile_duct,bile_duct,Biliary_Tract:Carcinoma,NaN,NA,
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-1036,"CMK-11-5",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M7,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"SUSPENSION","RPMI-1640 +10% FBS","NA",5,<undefined>,49.8,AML,AML,NA,NaN,LAML,
HEC265_ENDOMETRIUM,-946,"HEC-265",primary,endometrium,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,NaN,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"epithelial-like","Eagle's minimal essential medium with 15%  fetal bovine serum","NA",NaN,NA,NaN,endometrium,endometrium,Endometrium:Carcinoma,550.0652135,UCEC,
CAL12T_LUNG,-826,"CAL-12T",primary,lung,NS,NS,NS,carcinoma,non_small_cell_carcinoma,NS,NS,male,<undefined>,NaN,<undefined>,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,~50 hrs,NaN,lung_NSC,lung_NSC,Lung:NSCLC_Others,208.5600477,UNABLE TO CLASSIFY,
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-146,"THP-1",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M5,NS,male,pediatric,1,<undefined>,<undefined>,Asian,<undefined>,acute_monocytic_leukemia,CCLE,NIBRI,"<undefined>","RPMI-1640 + 10% FBS","0.05 mM 2-mercaptoethanol",5,<undefined>,101.8,AML,AML,Leukemia:AML,149.7150398,LAML,
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-697,"A3/KAW",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,female,<undefined>,NaN,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSRRB,"suspension; grows in aggregates","<undefined>","<undefined>",5,<undefined>,40,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,211.4255162,DLBC,
SKNSH_AUTONOMIC_GANGLIA,-149,"SK-N-SH",metastasis,autonomic_ganglia,NS,NS,NS,neuroblastoma,NS,NS,NS,female,<undefined>,4,<undefined>,<undefined>,Caucasian,bone_marrow,neuroblastoma,CCLE,ATCC,"<undefined>","EMEM+10% FBS","NA",5,<undefined>,50.6,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NaN,NB,
HCC1954_BREAST,-859,"HCC1954",primary,breast,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,female,<undefined>,61,east_indian,<undefined>,Caucasian,<undefined>,breast_cancer,CCLE,<undefined>,"Adherent","RPMI 1640 + 10%FBS","na",5,<undefined>,NaN,breast,breast,Breast:Carcinoma,198.1647591,BRCA,
CAMA1_BREAST,-783,"CAMA-1",metastasis,breast,NS,NS,NS,carcinoma,NS,NS,NS,female,<undefined>,51,caucasian,<undefined>,Caucasian,pleura,breast_cancer,CCLE,ATCC,"Adherent epithelial","EMEM+10%FBS","NA",5,<undefined>,114.8,breast,breast,Breast:Carcinoma,168.5219909,BRCA,
HEC6_ENDOMETRIUM,-984,"HEC-6",primary,endometrium,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,NaN,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"epithelial-like","Eagle's minimal essential medium with 15% fetal calf serum","NA",NaN,NA,NaN,endometrium,endometrium,Endometrium:Carcinoma,971.9750615,UCEC,
AM38_CENTRAL_NERVOUS_SYSTEM,-269,"AM-38",primary,central_nervous_system,brain,NS,NS,glioma,astrocytoma_Grade_IV,glioblastoma_multiforme,NS,male,<undefined>,36,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"NA","Eagle's minimal essential with 20% heat inactivated fetal bovine serum","NA",NaN,NA,NaN,glioma,glioma,CNS:Glioma_HighGrade,137.2704639,GBM,
HEC50B_ENDOMETRIUM,-831,"HEC-50B",primary,endometrium,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,NaN,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"epithelial-like","Eagle's minimal essential medium with 15%  fetal calf serum","<undefined>",NaN,NA,NaN,endometrium,endometrium,Endometrium:Carcinoma,231.9100059,UCEC,
HSC3_UPPER_AERODIGESTIVE_TRACT,-778,"HSC-3",metastasis,upper_aerodigestive_tract,mouth,tongue,NS,carcinoma,squamous_cell_carcinoma,NS,NS,male,<undefined>,64,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"<undefined>","EMEM+10%FBS","<undefined>",5,<undefined>,74.6,upper_aerodigestive,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,231.7658238,HNSC,
HSC4_UPPER_AERODIGESTIVE_TRACT,-546,"HSC-4",primary,upper_aerodigestive_tract,mouth,tongue,NS,carcinoma,squamous_cell_carcinoma,NS,NS,male,<undefined>,64,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"epithelial-like","Eagle's minimal essential medium with 10% calf serum (FCS can be used)","NA",NaN,NA,NaN,upper_aerodigestive,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,148.2821902,HNSC,
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-714,"KMS-11",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,female,<undefined>,67,asian,<undefined>,Asian,<undefined>,multiple_myeloma,CCLE,HSRRB,"adherent","RPMI 1640+20%FBS","NA",5,<undefined>,82.2,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,191.3080362,MM,
KP4_PANCREAS,-265,"KP4",metastasis,pancreas,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,male,<undefined>,50,asian,japan,Asian,ascites,<undefined>,CCLE,<undefined>,"adherent","IMDM+10%FBS","NA",5,<undefined>,NaN,pancreas,pancreas,Pancreas:Carcinoma,143.110198,PAAD,KP4
KE39_STOMACH,-507,"KE-39",metastasis,stomach,NS,NS,NS,carcinoma,NS,NS,NS,male,<undefined>,77,asian,japan,Asian,lymph_node,<undefined>,CCLE,RIKEN,"Adherent","RPMI 1640 +10%FBS","NA",5,<undefined>,92,stomach,stomach,Gastric:Carcinoma,148.4340211,STAD,
COV504_OVARY,-1048,"COV504",primary,ovary,NS,NS,NS,carcinoma,NS,NS,NS,female,<undefined>,NaN,<undefined>,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,ovary,ovary,NA,NaN,OV,
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-167,"KE-97",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,male,<undefined>,52,asian,japan,Asian,peritoneum,<undefined>,CCLE,RIKEN,"Adherent","RPMI 1640 +10%FBS","NA",5,<undefined>,40.3,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,117.1043494,MM,
VMRCRCW_KIDNEY,-484,"VMRC-RCW",primary,kidney,NS,NS,NS,carcinoma,NS,NS,NS,male,<undefined>,NaN,<undefined>,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,<undefined>,"adherent","EMEM+10%FBS","NA",5,<undefined>,NaN,kidney,kidney,Kidney:Carcinoma,107.4506264,KIRC,
HGC27_STOMACH,-847,"HGC-27",metastasis,stomach,NS,NS,NS,carcinoma,undifferentiated_adenocarcinoma,NS,NS,<undefined>,<undefined>,NaN,asian,<undefined>,Asian,lymph_node,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,stomach,stomach,Gastric:Carcinoma,247.1007226,STAD,
LUDLU1_LUNG,-390,"LUDLU-1",primary,lung,NS,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,male,<undefined>,72,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ECAAC,"epithelial, adherent","RPMI-1640+10% FBS","NA",5,<undefined>,120.7,lung_NSC,lung_NSC,Lung:NSCLC_Squamous,108.9028042,LUSC,LUDLU1
HUG1N_STOMACH,-239,"HuG1-N",primary,stomach,NS,NS,NS,carcinoma,NS,NS,NS,male,<undefined>,55,asian,japan,Asian,<undefined>,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,stomach,stomach,Gastric:Carcinoma,146.9369947,STAD,
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-626,"U266B1",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,male,<undefined>,53,<undefined>,<undefined>,Caucasian,<undefined>,myeloma,CCLE,ATCC,"Suspension Lymphoblast","RPMI1640+15%FBS","<undefined>",5,<undefined>,198.1,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,125.3581906,MM,
NUGC4_STOMACH,-674,"NUGC-4",metastasis,stomach,NS,NS,NS,carcinoma,signet_ring_adenocarcinoma,NS,NS,female,<undefined>,35,asian,japan,Asian,lymph_node,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,stomach,stomach,Gastric:Carcinoma,175.0163689,STAD,
BGC823_STOMACH,-1017,"BGC-823",primary,stomach,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,62,asian,chinese,African_american,<undefined>,<undefined>,CCLE,NA,"NA","NA","NA",NaN,NA,NaN,stomach,stomach,NA,NaN,STAD,
HMC18_BREAST,-721,"HMC-1-8",metastasis,breast,NS,NS,NS,carcinoma,NS,NS,NS,female,<undefined>,35,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"Adherent","RPMI 1640 +10%FBS","NA",5,<undefined>,63.3,breast,breast,Breast:Carcinoma,204.8327614,BRCA,
CAS1_CENTRAL_NERVOUS_SYSTEM,-464,"CAS-1",primary,central_nervous_system,brain,NS,NS,glioma,astrocytoma_Grade_IV,glioblastoma_multiforme,NS,male,<undefined>,63,<undefined>,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ICLC,"Adherenet","DMEM +10%FBS","NA",5,<undefined>,79.5,glioma,glioma,CNS:Glioma_HighGrade,119.2694501,GBM,
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-889,"KMM-1",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,male,<undefined>,62,asian,<undefined>,Asian,<undefined>,multiple_myeloma,CCLE,HSSRB,"lymphocyte-like","RPMI 1640 medium with 10% fetal bovine serum.","NA",NaN,NA,NaN,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,279.6134094,MM,
CORL23_LUNG,-662,"COR-L23",metastasis,lung,NS,NS,NS,carcinoma,large_cell_carcinoma,NS,NS,male,<undefined>,62,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ECAAC,"adherent","RPMI 1640 + 10%FBS","2mM L-glutamine",5,<undefined>,33.4,lung_NSC,lung_NSC,Lung:NSCLC_Large_Cell,137.3378769,NA,CORL23
